sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p58,Senior,g15,C,2,14,332,86,1925,0.16279069767441862,0.17246753246753246,0.16666143159166413,0.16762911507097555,0.16859679855028692
p59,Senior,g15,C,2,36,664,86,1925,0.4186046511627907,0.34493506493506493,0.3891368166717004,0.3817698580489278,0.37440289942615523
p60,Junior,g15,C,2,26,630,86,1925,0.3023255813953488,0.32727272727272727,0.3123044397463002,0.31479915433403804,0.3172938689217759
p61,Senior,g16,B,1,19,571,58,2234,0.3275862068965517,0.25559534467323186,0.2987898620072238,0.2915907757848918,0.2843916895625598
p62,Senior,g16,B,1,8,187,58,2234,0.13793103448275862,0.0837063563115488,0.11624116321427469,0.11081869539715371,0.10539622758003273
p63,Senior,g16,B,1,16,628,58,2234,0.27586206896551724,0.2811101163831692,0.277961287932578,0.2784860926743432,0.2790108974161084
p64,Junior,g16,B,1,15,848,58,2234,0.25862068965517243,0.37958818263205013,0.3070076868459235,0.3191044361436113,0.33120118544129906
p61,Senior,g16,A,2,21,707,72,2565,0.2916666666666667,0.27563352826510723,0.2852534113060429,0.283650097465887,0.282046783625731
p62,Senior,g16,A,2,9,205,72,2565,0.125,0.07992202729044834,0.10696881091617932,0.10246101364522417,0.09795321637426901
p63,Senior,g16,A,2,23,754,72,2565,0.3194444444444444,0.2939571150097466,0.3092495126705653,0.30670077972709553,0.30415204678362573
p64,Junior,g16,A,2,19,899,72,2565,0.2638888888888889,0.35048732943469785,0.2985282651072125,0.3071881091617934,0.31584795321637427
p65,Senior,g17,A,1,30,1412,106,4387,0.2830188679245283,0.32186004103031685,0.2985553371668437,0.3024394544774226,0.3063235717880014
p66,Senior,g17,A,1,18,740,106,4387,0.16981132075471697,0.16868019147481195,0.16935886904275496,0.16924575611476445,0.16913264318677396
p67,Senior,g17,A,1,33,1198,106,4387,0.3113207547169811,0.2730795532254388,0.2960242741203642,0.29220015397120996,0.28837603382205573
p68,Junior,g17,A,1,25,1037,106,4387,0.2358490566037736,0.23638021426943243,0.23606151967003713,0.236114635436603,0.23616775120316888
p65,Senior,g17,B,2,13,693,77,3093,0.16883116883116883,0.22405431619786614,0.19092042777784773,0.1964427425145175,0.20196505725118724
p66,Senior,g17,B,2,15,713,77,3093,0.19480519480519481,0.2305205302295506,0.20909132897493712,0.2126628625173727,0.21623439605980826
p67,Senior,g17,B,2,19,758,77,3093,0.24675324675324675,0.2450695118008406,0.24607975277228428,0.24591137927704368,0.24574300578180305
p68,Junior,g17,B,2,30,929,77,3093,0.38961038961038963,0.3003556417717426,0.3539084904749308,0.34498301569106615,0.3360575409072014
p69,Senior,g18,A,1,30,846,95,2778,0.3157894736842105,0.3045356371490281,0.3112879390701375,0.3101625554166193,0.3090371717631011
p70,Senior,g18,A,1,20,539,95,2778,0.21052631578947367,0.19402447804175665,0.20392558069038685,0.20227539691561516,0.20062521314084347
p71,Senior,g18,A,1,24,726,95,2778,0.25263157894736843,0.2613390928725702,0.2561145845174492,0.2569853359099693,0.2578560873024895
p72,Junior,g18,A,1,21,667,95,2778,0.22105263157894736,0.24010079193664507,0.22867189572202645,0.2305767117577962,0.23248152779356598
p69,Senior,g18,C,2,20,1202,68,2728,0.29411764705882354,0.4406158357771261,0.3527169225461446,0.3673667414179748,0.3820165602898051
p70,Senior,g18,C,2,12,340,68,2728,0.17647058823529413,0.12463343108504399,0.15573572537519406,0.15055200966016907,0.14536829394514406
p71,Senior,g18,C,2,22,622,68,2728,0.3235294117647059,0.2280058651026393,0.28531999309987927,0.2757676384336726,0.26621528376746595
p72,Junior,g18,C,2,14,564,68,2728,0.20588235294117646,0.20674486803519063,0.20622735897878214,0.20631361048818353,0.20639986199758498
p73,Senior,g19,B,1,46,1782,89,2960,0.5168539325842697,0.602027027027027,0.5509231703613726,0.5594404798056484,0.5679577892499241
p74,Senior,g19,B,1,16,535,89,2960,0.1797752808988764,0.18074324324324326,0.18016246583662315,0.18025926207105983,0.1803560583054965
p75,Senior,g19,B,1,17,313,89,2960,0.19101123595505617,0.10574324324324325,0.156904038870331,0.14837723959914972,0.13985044032796842
p76,Junior,g19,B,1,10,330,89,2960,0.11235955056179775,0.11148648648648649,0.11201032493167325,0.11192301852414212,0.11183571211661099
p73,Senior,g19,A,2,30,1124,65,2088,0.46153846153846156,0.5383141762452107,0.4922487474211612,0.49992631889183614,0.5076038903625111
p74,Senior,g19,A,2,7,100,65,2088,0.1076923076923077,0.04789272030651341,0.08377247273798999,0.07779251399941056,0.07181255526083113
p75,Senior,g19,A,2,21,411,65,2088,0.3230769230769231,0.1968390804597701,0.2725817860300619,0.2599580017683466,0.2473342175066313
p76,Junior,g19,A,2,7,453,65,2088,0.1076923076923077,0.21695402298850575,0.15139699381078692,0.16232316534040672,0.17324933687002653
p77,Senior,g20,B,1,14,536,57,2268,0.24561403508771928,0.23633156966490299,0.24190104891859276,0.24097280237631113,0.2400445558340295
p78,Senior,g20,B,1,12,293,57,2268,0.21052631578947367,0.12918871252204586,0.17799127448250254,0.16985751415575978,0.161723753829017
p79,Senior,g20,B,1,15,605,57,2268,0.2631578947368421,0.26675485008818345,0.26459667687737864,0.2649563724125128,0.2653160679476469
p80,Junior,g20,B,1,16,834,57,2268,0.2807017543859649,0.36772486772486773,0.3155109997215261,0.3242133110554163,0.3329156223893066
p77,Senior,g20,A,2,7,273,43,1479,0.16279069767441862,0.1845841784989858,0.1715080900042455,0.17368743808670223,0.17586678616915893
p78,Senior,g20,A,2,10,206,43,1479,0.23255813953488372,0.13928329952670723,0.19524820353161312,0.18592071953079548,0.17659323552997783
p79,Senior,g20,A,2,10,392,43,1479,0.23255813953488372,0.2650439486139283,0.24555246316650156,0.248801044074406,0.2520496249823105
p80,Junior,g20,A,2,16,608,43,1479,0.37209302325581395,0.41108857336037863,0.3876912432976398,0.3915907983080963,0.39549035331855276
p81,Senior,g21,B,1,12,315,55,1089,0.21818181818181817,0.2892561983471074,0.24661157024793387,0.2537190082644628,0.2608264462809917
p82,Senior,g21,B,1,19,393,55,1089,0.34545454545454546,0.3608815426997245,0.35162534435261705,0.353168044077135,0.3547107438016529
p83,Senior,g21,B,1,17,279,55,1089,0.3090909090909091,0.256198347107438,0.28793388429752065,0.28264462809917357,0.27735537190082643
p84,Junior,g21,B,1,7,102,55,1089,0.12727272727272726,0.09366391184573003,0.11382920110192837,0.11046831955922864,0.10710743801652892
p81,Senior,g21,A,2,13,327,55,1227,0.23636363636363636,0.2665036674816626,0.24841964881084685,0.2514336519226495,0.2544476550344521
p82,Senior,g21,A,2,13,356,55,1227,0.23636363636363636,0.29013854930725347,0.2578736015410832,0.2632510928354449,0.2686285841298066
p83,Senior,g21,A,2,17,350,55,1227,0.3090909090909091,0.2852485737571312,0.29955397495739794,0.29716974142402014,0.29478550789064234
p84,Junior,g21,A,2,12,194,55,1227,0.21818181818181817,0.15810920945395274,0.194152774690672,0.18814551381788547,0.18213825294509892
p85,Senior,g22,C,1,5,446,40,2066,0.125,0.2158760890609874,0.16135043562439497,0.17043804453049372,0.17952565343659244
p86,Senior,g22,C,1,6,367,40,2066,0.15,0.1776379477250726,0.16105517909002903,0.1638189738625363,0.16658276863504357
p87,Senior,g22,C,1,18,727,40,2066,0.45,0.35188770571151984,0.410755082284608,0.40094385285575995,0.3911326234269119
